event_type,ingestion_timestamp,event_timestamp
vp,1598132201699.559,1598132202169.0
vp,1598132201699.8032,1598132202126.0
vp,1598132201700.174,1598132201254.0
vp,1598132201702.974,1598132202206.0
vp,1598132201703.1802,1598132202145.0
vp,1598132201719.576,1598132202202.0
vp,1598132201720.0042,1598132202203.0
vp,1598132201724.67,1598132202196.0
vp,1598132201725.072,1598132202226.0
vp,1598132201741.704,1598132202022.0
vp,1598132201742.146,1598132202178.0
vp,1598132201744.916,1598132202064.0
vp,1598132201745.599,1598132201942.0
vp,1598132201758.251,1598132202252.0
vp,1598132201768.1948,1598132202246.0
vp,1598132201777.374,1598132201901.0
vp,1598132201777.905,1598132202265.0
vp,1598132201787.607,1598132202219.0
vp,1598132201788.086,1598132202277.0
vp,1598132201792.618,1598132202272.0
vp,1598132201793.811,1598132202265.0
vp,1598132201794.4119,1598132202290.0
vp,1598132201804.516,1598132202263.0
vp,1598132201804.883,1598132202282.0
vp,1598132201816.8682,1598132202201.0
vp,1598132201826.811,1598132202242.0
vp,1598132201832.814,1598132202171.0
vp,1598132201833.3608,1598132202295.0
vp,1598132201839.548,1598132202294.0
vp,1598132201843.14,1598132202273.0
dep,1598132201843.687,1598132202231.0
vp,1598132201851.9421,1598132202318.0
vp,1598132201852.1719,1598132202284.0
vp,1598132201857.6929,1598132202385.0
vp,1598132201858.009,1598132202342.0
vp,1598132201858.987,1598132202351.0
vp,1598132201859.582,1598132202080.0
vp,1598132201865.155,1598132202350.0
vp,1598132201872.561,1598132202364.0
vp,1598132201872.6348,1598132202342.0
vp,1598132201874.783,1598132202335.0
vp,1598132201875.351,1598132202306.0
vp,1598132201886.27,1598132202331.0
vp,1598132201886.3699,1598132202400.0
vp,1598132201897.1501,1598132201700.0
vp,1598132201897.281,1598132202395.0
vp,1598132201903.474,1598132202384.0
vp,1598132201903.86,1598132202369.0
vp,1598132201910.276,1598132202328.0
vp,1598132201910.806,1598132202394.0
vp,1598132201921.0652,1598132202398.0
vp,1598132201926.6628,1598132202354.0
vp,1598132201926.902,1598132202410.0
vp,1598132201932.775,1598132202349.0
vp,1598132201946.24,1598132202437.0
vp,1598132201946.834,1598132202444.0
vp,1598132201953.362,1598132202178.0
vp,1598132201953.616,1598132202423.0
vp,1598132201953.9102,1598132202460.0
vp,1598132201961.5222,1598132202442.0
vp,1598132201965.965,1598132202443.0
vp,1598132201971.7888,1598132202473.0
vp,1598132201972.2358,1598132202397.0
vp,1598132201976.222,1598132202478.0
vp,1598132201976.425,1598132202415.0
vp,1598132201976.66,1598132202449.0
vp,1598132201990.143,1598132202386.0
vp,1598132201990.357,1598132202430.0
vp,1598132201990.4348,1598132202431.0
vp,1598132201998.916,1598132202482.0
vp,1598132201999.425,1598132202494.0
vp,1598132202011.924,1598132202112.0
vp,1598132202017.4602,1598132202352.0
vp,1598132202017.605,1598132202254.0
vp,1598132202024.04,1598132202511.0
vp,1598132202024.477,1598132202481.0
dep,1598132202028.064,1598132202413.0
vp,1598132202028.2021,1598132202293.0
vp,1598132202028.89,1598132202488.0
vp,1598132202037.444,1598132202461.0
vp,1598132202037.855,1598132202521.0
vp,1598132202040.872,1598132202520.0
vp,1598132202041.289,1598132202531.0
vp,1598132202041.5361,1598132202517.0
vp,1598132202057.079,1598132202534.0
vp,1598132202067.323,1598132202328.0
vp,1598132202067.427,1598132202562.0
vp,1598132202067.573,1598132202543.0
vp,1598132202073.616,1598132202562.0
vp,1598132202074.017,1598132202576.0
vp,1598132202078.445,1598132202472.0
vp,1598132202078.837,1598132202583.0
vp,1598132202081.45,1598132202565.0
vp,1598132202110.3179,1598132202599.0
vp,1598132202110.434,1598132202538.0
vp,1598132202110.7358,1598132202616.0
vp,1598132202115.357,1598132202591.0
vp,1598132202124.292,1598132202580.0
vp,1598132202124.408,1598132202577.0
ars,1598132202130.9,1598132202580.0
vp,1598132202139.98,1598132202621.0
vp,1598132202140.518,1598132202568.0
vp,1598132202140.5808,1598132202605.0
vp,1598132202147.9001,1598132202501.0
vp,1598132202158.428,1598132202604.0
vp,1598132202158.8062,1598132202529.0
vp,1598132202185.2168,1598132202598.0
vp,1598132202194.216,1598132202670.0
vp,1598132202204.884,1598132202690.0
vp,1598132202204.9602,1598132202700.0
vp,1598132202205.019,1598132202687.0
vp,1598132202206.636,1598132202491.0
vp,1598132202206.839,1598132202710.0
vp,1598132202207.112,1598132202641.0
vp,1598132202210.628,1598132202712.0
vp,1598132202211.173,1598132202464.0
vp,1598132202213.247,1598132202696.0
vp,1598132202213.338,1598132202608.0
vp,1598132202215.02,1598132202675.0
vp,1598132202224.711,1598132202629.0
vp,1598132202232.913,1598132202733.0
vp,1598132202255.244,1598132202759.0
vp,1598132202255.371,1598132202752.0
vp,1598132202269.1392,1598132202678.0
vp,1598132202269.375,1598132202747.0
vp,1598132202280.7952,1598132202717.0
vp,1598132202281.193,1598132202786.0
vp,1598132202292.897,1598132202775.0
vp,1598132202305.1628,1598132202828.0
vp,1598132202310.489,1598132202778.0
vp,1598132202317.6301,1598132201994.0
vp,1598132202322.925,1598132202669.0
vp,1598132202326.641,1598132202000.0
vp,1598132202327.2222,1598132202792.0
vp,1598132202327.869,1598132202000.0
vp,1598132202328.1902,1598132202000.0
vp,1598132202328.798,1598132202000.0
vp,1598132202328.9111,1598132202000.0
vp,1598132202328.98,1598132202000.0
vp,1598132202333.014,1598132202808.0
vp,1598132202333.5112,1598132202000.0
vp,1598132202335.0762,1598132202838.0
vp,1598132202335.729,1598132202780.0
vp,1598132202350.332,1598132202392.0
vp,1598132202353.707,1598132202850.0
vp,1598132202353.831,1598132202794.0
vp,1598132202358.125,1598132202852.0
vp,1598132202358.443,1598132202840.0
vp,1598132202374.1309,1598132202728.0
vp,1598132202378.987,1598132202849.0
vp,1598132202386.828,1598132202889.0
vp,1598132202389.521,1598132202887.0
vp,1598132202398.7031,1598132202871.0
vp,1598132202407.276,1598132202882.0
vp,1598132202407.386,1598132202832.0
vp,1598132202422.8,1598132202922.0
vp,1598132202428.167,1598132202512.0
vp,1598132202429.1511,1598132202920.0
vp,1598132202429.207,1598132202897.0
vp,1598132202429.46,1598132202918.0
vp,1598132202430.8071,1598132202918.0
vp,1598132202431.548,1598132202889.0
vp,1598132202442.937,1598132202670.0
vp,1598132202443.0571,1598132202028.0
vp,1598132202449.759,1598132202890.0
vp,1598132202449.956,1598132202940.0
vp,1598132202455.8489,1598132202901.0
vp,1598132202457.016,1598132202927.0
vp,1598132202458.183,1598132202744.0
vp,1598132202458.61,1598132202950.0
vp,1598132202465.7542,1598132202901.0
vp,1598132202466.455,1598132202922.0
vp,1598132202466.5151,1598132202964.0
vp,1598132202469.381,1598132202978.0
vp,1598132202469.465,1598132202922.0
vp,1598132202480.0469,1598132202966.0
vp,1598132202480.302,1598132202700.0
vp,1598132202480.422,1598132202935.0
vp,1598132202515.9211,1598132202887.0
vp,1598132202516.355,1598132202970.0
vp,1598132202516.794,1598132203006.0
ars,1598132202519.9731,1598132202960.0
vp,1598132202524.483,1598132202986.0
vp,1598132202524.6912,1598132202955.0
vp,1598132202536.297,1598132202856.0
vp,1598132202536.935,1598132203014.0
vp,1598132202542.345,1598132202776.0
vp,1598132202542.8171,1598132202919.0
vp,1598132202549.197,1598132203028.0
vp,1598132202549.572,1598132203031.0
vp,1598132202553.7778,1598132203042.0
vp,1598132202553.894,1598132203042.0
vp,1598132202571.914,1598132203009.0
vp,1598132202572.282,1598132203012.0
vp,1598132202591.795,1598132202994.0
vp,1598132202598.0588,1598132203094.0
vp,1598132202598.225,1598132202812.0
vp,1598132202609.88,1598132202942.0
vp,1598132202616.8972,1598132203078.0
vp,1598132202636.638,1598132203029.0
vp,1598132202642.512,1598132203136.0
vp,1598132202642.732,1598132203138.0
vp,1598132202648.622,1598132203063.0
vp,1598132202648.844,1598132203155.0
vp,1598132202655.127,1598132203145.0
vp,1598132202655.209,1598132203098.0
vp,1598132202659.833,1598132203155.0
vp,1598132202660.243,1598132203112.0
dep,1598132202671.698,1598132203083.0
vp,1598132202675.114,1598132203169.0
ars,1598132202675.186,1598132203174.0
vp,1598132202675.2988,1598132203173.0
vp,1598132202682.179,1598132203186.0
vp,1598132202685.493,1598132203145.0
vp,1598132202699.0408,1598132203172.0
vp,1598132202699.122,1598132203126.0
vp,1598132202702.962,1598132203206.0
vp,1598132202703.0388,1598132203149.0
vp,1598132202705.902,1598132203202.0
vp,1598132202714.0352,1598132203143.0
vp,1598132202720.042,1598132203203.0
vp,1598132202723.2039,1598132203201.0
vp,1598132202723.762,1598132203220.0
vp,1598132202728.861,1598132203196.0
vp,1598132202729.381,1598132203171.0
vp,1598132202729.7659,1598132203225.0
vp,1598132202742.381,1598132203178.0
vp,1598132202742.931,1598132203064.0
vp,1598132202758.071,1598132203252.0
vp,1598132202761.728,1598132203100.0
vp,1598132202774.943,1598132203023.0
vp,1598132202775.458,1598132203263.0
vp,1598132202781.904,1598132203277.0
vp,1598132202782.249,1598132203242.0
vp,1598132202782.585,1598132203246.0
vp,1598132202786.9229,1598132203273.0
vp,1598132202798.031,1598132203266.0
vp,1598132202801.289,1598132203295.0
vp,1598132202801.6592,1598132203266.0
vp,1598132202801.83,1598132203084.0
vp,1598132202806.407,1598132203290.0
vp,1598132202816.551,1598132203272.0
vp,1598132202817.183,1598132203282.0
ars,1598132202826.0342,1598132203323.0
vp,1598132202839.926,1598132203335.0
vp,1598132202843.294,1598132203284.0
vp,1598132202843.472,1598132203317.0
vp,1598132202850.754,1598132203351.0
vp,1598132202857.363,1598132203385.0
vp,1598132202857.706,1598132203342.0
vp,1598132202859.3271,1598132203293.0
vp,1598132202859.609,1598132203080.0
vp,1598132202870.7869,1598132203350.0
vp,1598132202871.167,1598132203328.0
vp,1598132202877.321,1598132203306.0
vp,1598132202881.9631,1598132203364.0
vp,1598132202886.697,1598132203354.0
vp,1598132202887.328,1598132203384.0
vp,1598132202896.328,1598132203400.0
vp,1598132202896.44,1598132203331.0
vp,1598132202897.012,1598132203386.0
vp,1598132202905.219,1598132203394.0
vp,1598132202919.142,1598132203369.0
vp,1598132202925.176,1598132203410.0
vp,1598132202934.4512,1598132203436.0
vp,1598132202934.754,1598132203394.0
vp,1598132202953.738,1598132203423.0
vp,1598132202953.83,1598132203460.0
vp,1598132202961.865,1598132203443.0
vp,1598132202967.054,1598132203392.0
